county,taxcode,total_rate
C,000-002,19.7358
C,000-003,24.0431
C,003-002,19.2716
C,003-004,17.3368
C,003-005,16.7613
C,003-015,17.3368
C,003-023,19.285
C,003-026,19.8807
C,003-028,16.7613
C,003-029,19.285
C,003-031,18.0566
C,003-040,19.2561
C,003-041,19.8807
C,003-046,19.2716
C,003-052,18.7095
C,003-055,18.7095
C,003-056,19.285
C,003-057,17.3368
C,003-058,19.2716
C,007-002,19.1621
C,007-003,18.2611
C,007-005,16.6954
C,007-008,17.3185
C,007-009,18.7957
C,007-016,16.8609
C,007-017,17.3605
C,007-019,17.6227
C,007-020,17.3605
C,007-021,19.2041
C,007-022,17.3605
C,007-023,17.6227
C,007-024,17.3605
C,007-027,17.3185
C,007-044,16.9029
C,007-045,16.6407
C,007-049,16.6954
C,007-050,19.1621
C,007-055,23.1715
C,007-057,19.2041
C,007-058,19.2041
C,007-059,17.6227
C,007-068,17.7355
C,007-069,17.0157
C,007-074,19.4468
C,007-075,19.3169
C,007-076,19.3169
C,007-077,19.2041
C,007-078,19.1621
C,007-083,19.1621
C,007-084,16.6954
C,007-085,19.2041
C,007-087,17.7355
C,007-089,17.5807
C,007-090,16.6954
C,007-091,16.8609
C,007-092,17.0157
C,007-093,19.2041
C,007-094,19.2041
C,007-095,19.2041
C,007-096,19.1621
C,007-097,19.2041
C,012-002,22.0045
C,012-017,19.8281
C,012-019,23.1831
C,012-045,18.1331
C,012-047,18.8529
C,012-051,18.8529
C,012-054,18.8529
C,012-057,18.8529
C,012-073,18.8529
C,012-080,17.0194
C,012-081,18.1331
C,012-083,18.1331
C,012-088,17.0194
C,012-089,17.0194
C,012-091,17.0194
C,012-092,17.0194
C,012-093,18.1331
C,012-094,18.8529
C,012-103,18.1331
C,012-115,17.5949
C,012-118,22.0045
C,012-130,17.8673
C,012-133,22.0045
C,012-149,19.6135
C,012-151,17.5949
C,012-152,17.5949
C,012-153,17.5949
C,012-158,19.6135
C,012-162,17.0194
C,012-163,17.0194
C,012-166,18.8529
C,012-169,18.8529
C,012-171,18.8529
C,012-172,18.8529
C,012-173,18.8529
C,012-183,23.1831
C,012-184,17.5949
C,012-188,19.6135
C,012-194,19.6135
C,012-195,19.6135
C,012-196,19.6135
C,012-199,17.0194
C,012-201,17.0194
C,012-207,17.5949
C,012-212,17.0194
C,012-214,17.0194
C,012-215,18.1331
C,012-216,17.5949
C,012-217,17.5949
C,012-219,18.1331
C,012-220,18.1331
C,012-221,18.1331
C,012-222,18.1331
C,012-223,17.5949
C,012-226,18.1331
C,012-228,17.5949
C,012-229,18.8529
C,012-230,18.8529
C,012-231,18.8529
C,012-235,19.6135
C,012-236,19.6135
C,012-237,19.6135
C,012-238,23.1831
C,012-239,23.1831
C,012-241,17.5949
C,012-242,17.5949
C,012-243,19.6135
C,012-245,19.8281
C,012-246,22.0045
C,012-247,18.8529
C,012-249,17.5949
C,012-250,19.6135
C,012-252,22.0045
C,012-253,22.0045
C,012-255,19.6135
C,012-256,18.1331
C,012-257,18.1331
C,012-258,18.1331
C,012-260,18.1331
C,012-262,22.0045
C,012-263,19.038
C,012-266,19.038
C,012-268,19.6135
C,012-269,19.038
C,012-270,19.038
C,012-271,17.5949
C,012-272,19.6135
C,012-273,19.6135
C,012-274,17.5949
C,012-275,19.6135
C,012-276,19.6135
C,012-277,19.6135
C,012-278,19.6135
C,012-279,19.6135
C,012-280,19.424
C,012-281,19.0027
C,012-282,3.0018
C,012-283,20.1517
C,012-284,20.1517
C,012-285,20.1517
C,012-286,20.1517
C,012-287,20.1517
C,012-288,19.6135
C,012-289,19.6135
C,012-290,20.1517
C,012-291,20.1517
C,026-001,15.4836
C,026-002,15.4836
C,026-008,16.0591
C,026-009,16.0591
C,026-010,16.0591
C,026-012,15.5301
C,026-013,15.4836
C,026-014,15.4836
C,026-020,15.4836
C,026-024,16.0591
C,026-025,15.4836
C,026-026,15.4836
C,026-027,16.0591
C,026-028,16.0591
C,026-029,16.0591
C,026-030,15.5301
C,026-032,16.0591
C,026-033,15.4836
C,026-034,18.0777
C,026-035,18.0777
C,035-002,19.1559
C,035-004,12.952
C,035-007,13.5299
C,035-011,13.2743
C,035-013,13.5299
C,035-015,11.7142
C,035-023,14.716
C,035-024,11.7142
C,035-026,15.0073
C,035-027,14.716
C,035-029,15.0073
C,035-032,12.7483
C,035-033,14.4189
C,035-035,12.7483
C,035-039,19.1559
C,035-040,13.5299
C,046-004,13.613
C,046-012,11.5412
C,046-013,13.7187
C,046-014,15.1165
C,046-015,15.1165
C,046-016,14.543
C,046-017,17.1558
C,046-018,14.4373
C,046-019,13.613
C,046-021,14.4373
C,046-022,14.4373
C,046-023,14.4838
C,046-024,15.0128
C,046-025,15.0128
C,046-026,15.0128
C,046-027,15.0128
C,046-036,13.613
C,046-037,14.4373
C,046-039,11.4355
C,046-040,15.1165
C,046-042,15.1165
C,046-043,15.1165
C,046-044,15.1165
C,046-046,15.407
C,046-048,17.1558
C,046-055,11.726
C,046-057,15.0128
C,046-058,13.8384
C,046-061,14.4838
C,046-063,14.4373
C,046-064,14.4838
C,046-065,15.8073
C,046-066,12.1263
C,046-067,17.1558
C,046-068,17.9801
C,053-002,10.172
C,053-005,13.1738
C,053-006,11.7321
C,053-007,11.7321
C,053-008,12.5749
C,053-009,11.9877
C,062-001,12.5408
C,062-002,20.0347
C,062-003,15.5426
C,062-004,15.5426
C,062-011,17.3761
C,062-014,15.5426
C,062-021,14.3565
C,062-022,18.3513
C,062-026,15.5426
C,062-031,16.1181
C,062-033,16.1181
C,062-050,18.3513
C,062-053,16.8379
C,062-054,16.8379
C,062-057,20.0347
C,062-062,15.5426
C,062-063,15.5426
C,062-064,20.0347
C,062-070,15.5426
C,062-073,18.3513
C,062-074,14.9437
C,062-077,14.9437
C,062-079,15.0029
C,062-080,14.9437
C,062-082,16.2624
C,062-083,16.8379
C,062-084,16.8379
C,062-088,20.0347
C,062-092,20.0347
C,062-093,16.8379
C,062-097,16.1181
C,062-100,18.3513
C,062-101,19.4592
C,062-102,19.4592
C,067-002,12.5773
C,067-003,12.781
C,067-005,13.3589
C,067-008,11.5432
C,086-002,17.7166
C,086-006,13.96
C,086-007,14.6075
C,086-009,14.8998
C,086-013,14.3104
C,086-014,16.4508
C,086-015,13.4214
C,086-019,14.6075
C,086-020,14.3104
C,086-024,14.6075
C,086-026,14.6075
C,086-029,14.6075
C,086-030,14.6075
C,086-031,12.6398
C,086-036,12.6398
C,086-039,16.4508
C,086-042,17.7166
C,086-043,14.3104
C,086-045,14.3104
C,086-046,17.7166
C,086-047,17.7166
C,086-048,14.3104
C,086-049,14.3104
C,108-002,14.6623
C,108-003,12.4005
C,108-008,11.5762
C,108-009,12.3413
C,108-012,12.3413
C,108-014,11.8016
C,108-016,12.3413
C,108-022,12.4005
C,108-023,11.8016
C,108-024,11.8016
C,108-025,9.2106
C,108-026,12.3413
C,108-027,9.3987
C,108-028,11.8016
C,108-030,9.3395
C,108-031,14.6623
C,108-032,12.3413
C,115-002,20.1491
C,115-010,19.1739
C,115-022,19.1739
C,115-039,20.1491
C,115-040,20.1491
C,115-045,20.1491
C,115-046,20.1491
C,115-047,20.1491
C,115-050,20.1491
C,115-051,19.1739
C,115-052,20.1491
C,115-053,20.1491
C,115-054,20.1491
C,302-005,14.6466
C,302-011,14.6466
C,302-013,20.2348
C,302-014,14.6466
C,302-015,16.6652
C,302-016,16.6652
C,302-018,14.6466
C,302-020,16.6652
C,302-021,16.6652
C,302-025,16.6652
C,302-026,16.6652
C,302-027,16.6652
C,302-028,16.6652
C,304-001,16.6328
C,304-003,17.3526
C,304-004,19.1767
C,304-005,19.1767
C,305-001,16.9416
C,305-010,19.4653
C,306-001,13.3873
C,315-002,15.4488
C,315-003,15.4488
M,001,26.9199
M,002,17.182
M,005,16.415
M,006,22.8835
M,011,24.0723
M,016,21.4998
M,026,20.3496
M,027,18.2394
M,028,19.0059
M,034,14.2264
M,036,17.0656
M,040,23.3888
M,047,19.1893
M,049,14.4634
M,062,16.8269
M,072,20.6089
M,073,12.9104
M,074,15.3946
M,082,12.9104
M,085,17.0334
M,086,17.6504
M,087,17.6504
M,090,13.3105
M,103,18.2882
M,113,24.1806
M,118,20.0789
M,121,21.4998
M,122,20.0789
M,137,20.3496
M,144,20.4909
M,147,26.3444
M,149,25.1292
M,151,27.3319
M,154,18.2882
M,155,24.7597
M,160,22.8835
M,161,24.1806
M,166,15.7631
M,175,23.1366
M,181,20.7843
M,187,19.956
M,188,20.6352
M,201,26.9449
M,203,14.8165
M,236,17.0791
M,239,17.8709
M,240,17.7166
M,241,17.3526
M,242,18.1791
M,243,16.6971
M,248,19.3394
M,264,16.8269
M,276,20.273
M,277,15.9315
M,278,19.4899
M,279,15.6319
M,281,22.5706
M,295,25.2281
M,296,24.7597
M,303,17.0334
M,304,17.0334
M,331,18.5238
M,342,14.791
M,346,13.9245
M,350,22.0389
M,354,18.2259
M,355,18.4304
M,358,15.9701
M,359,13.4859
M,370,20.5564
M,374,20.0852
M,378,27.0532
M,383,18.9371
M,386,18.9371
M,390,17.7825
M,391,20.0654
M,393,23.0869
M,394,21.1296
M,402,19.1893
M,403,17.0791
M,404,17.7166
M,406,23.3888
M,407,23.1366
M,410,17.182
M,411,20.6089
M,413,19.4899
M,414,18.4304
M,416,17.6504
M,418,18.2747
M,419,20.5693
M,420,25.1292
M,421,26.9064
M,422,18.2259
M,423,19.0194
M,424,17.0791
M,425,18.2747
M,426,17.7031
M,427,18.1656
M,428,16.7106
M,429,20.0789
M,430,20.5954
M,458,16.7501
M,703,26.9449
M,704,24.0723
M,705,24.1806
M,709,26.9199
M,710,26.9449
M,711,22.8835
M,712,24.1806
M,713,26.9449
M,791,15.7709
M,792,15.7709
M,800,26.9449
M,801,26.9449
M,802,24.1806
M,804,22.8835
M,805,24.1806
M,806,22.8835
M,807,24.1806
M,808,23.1366
M,809,26.9449
M,811,23.3888
M,812,23.1366
M,813,26.9449
M,814,26.9449
M,815,22.8835
M,816,23.3888
M,817,26.9449
M,818,26.9199
M,884,26.9449
M,901,19.1893
M,902,19.1893
M,903,20.3496
M,904,18.9371
M,924,17.7166
M,925,17.7166
M,929,8.0912
M,931,18.1791
M,932,17.3526
W,001.03,13.3411
W,001.04,12.7656
W,001.06,12.7656
W,001.07,14.4777
W,001.12,16.4062
W,001.13,15.0532
W,001.15,15.0532
W,001.16,15.8307
W,001.17,16.4062
W,001.19,16.4062
W,001.20,13.3411
W,001.23,12.7656
W,001.24,12.7656
W,001.25,12.7656
W,001.26,10.4442
W,001.27,15.0532
W,001.28,15.0532
W,001.34,18.4829
W,001.36,17.1299
W,001.37,17.1299
W,001.39,18.4829
W,001.41,10.4442
W,001.44,12.7656
