zone,parcels,acres,av,tax,cost_d,cost_n,units,bsf,solvency_demand,solvency_network,far_now,du_ac_now,required_far_demand,required_far_network,required_du_ac_demand,family,far_base,far_bonus,height_ft,min_du_ac,verdict_demand,min_density_covers_requirement
RF,649,1567.11429659,328669170,2941824.100179,2156736.276679959,7465270.989844055,541.0,1565410,1.36,0.39,0.02,0.3,0.01,0.05,0.2,single,,,30.0,,n/a,
R20,1433,1211.8567838,679531960,6077204.876072,4654863.146315089,14721450.75612992,1140.0,3343008,1.31,0.41,0.06,0.9,0.05,0.15,0.7,single,0.7,0.8,30.0,,solvent now,
R10,12741,4533.29279374,5681291321,50653015.5044875,43512427.08515699,90049569.96519907,11423.0,29953945,1.16,0.56,0.15,2.5,0.13,0.27,2.1,single,0.7,0.8,30.0,,solvent now,
EG2,662,1232.33859343,1073677450,9611131.06142,9314853.921579063,17990778.544782996,211.0,7226006,1.03,0.53,0.13,0.2,0.13,0.24,0.2,employment,3.0,,,,solvent now,
IH,1260,5407.00532997,2062841080,18465728.211728,19411138.5372864,46721145.57731715,104.0,16146953,0.95,0.4,0.07,0.0,0.07,0.18,0.0,industrial,,,,,"no FAR limit — market-bound, not code-bound",
IG2,1981,7472.92309959,2696500730,24096498.815498997,26667760.3734998,67956870.46022178,339.0,21397911,0.9,0.35,0.07,0.0,0.08,0.2,0.0,industrial,,,,,"no FAR limit — market-bound, not code-bound",
R7,33118,7358.03446735,9024186945,80640634.421137,121679298.12698904,171390921.26358724,32788.0,57387557,0.66,0.47,0.18,4.5,0.27,0.38,6.8,single,0.7,0.8,30.0,,achievable under BASE zoning,
CE,1512,998.71843541,1083286300,9697145.64308,14920181.656992499,20616345.36594991,2880.0,7465422,0.65,0.47,0.17,2.9,0.26,0.36,4.5,commercial,2.5,4.0,45.0,,achievable under BASE zoning,
R5,74656,10690.76429598,18996677312,170046597.498881,282727068.2615844,316770339.1458808,77819.0,126564404,0.6,0.54,0.27,7.3,0.45,0.5,12.1,single,0.8,0.9,30.0,,achievable under BASE zoning,
IG1,1287,612.9176314599999,828187719,7413114.493295499,12601703.973262113,20065181.679373126,352.0,9338041,0.59,0.37,0.35,0.6,0.59,0.95,1.0,industrial,,,,,"no FAR limit — market-bound, not code-bound",
EX,9906,511.5210634,3604113510,32262582.496115997,55558567.00730394,18760094.521440342,13313.0,23701367,0.58,1.72,1.06,26.0,1.83,0.62,44.8,employment,3.0,5.0,65.0,,achievable under BASE zoning,
CX,8443,938.21581769,6471387150,57929269.21194,109622033.73589364,31968286.61591161,22016.0,63324198,0.53,1.81,1.55,23.5,2.93,0.86,44.5,commercial,4.0,6.0,75.0,,achievable under BASE zoning,
EG1,592,182.57928864,216996620,1942466.9435919998,4064859.3910079207,5946167.180795824,213.0,2683262,0.48,0.33,0.34,1.2,0.71,1.04,2.5,employment,3.0,,45.0,,achievable under BASE zoning,
CM2,9462,1652.80384892,4005722580,35857626.247127995,77570827.2570748,59575931.63569433,19829.0,32336018,0.46,0.6,0.45,12.0,0.97,0.75,26.0,commercial,2.5,4.0,45.0,30.0,achievable under BASE zoning,yes
R2.5,27784,3093.0327648400003,5794364220,51868830.751752,112111972.97071622,97813770.36560258,32287.0,42675812,0.46,0.53,0.32,10.4,0.69,0.6,22.5,single,1.0,1.1,35.0,,achievable under BASE zoning,
CM1,1914,384.52184854,627623740,5618236.670984,13733094.620147664,14750933.219375737,3470.0,5145597,0.41,0.38,0.31,9.0,0.76,0.81,22.0,commercial,1.5,2.5,35.0,,achievable under BASE zoning,
CM3,2049,523.96629555,1930706710,17282914.185236,41859666.21390185,18982290.57014709,13605.0,17808321,0.41,0.91,0.78,26.0,1.89,0.86,63.0,commercial,3.0,5.0,65.0,43.6,achievable under BASE zoning,no
CR,39,5.68,8069320,72233.324912,180107.6633401644,490975.2735782118,17.0,94403,0.4,0.15,0.38,3.0,0.95,2.58,7.5,commercial,1.0,,30.0,,n/a,
RX,3772,91.68354204,894565410,8007791.724156,22095537.320538785,3125404.6164333033,7059.0,6029394,0.36,2.56,1.51,77.0,4.17,0.59,212.5,multi,4.0,6.0,100.0,87.1,achievable only WITH bonus FAR,no
RM1,19607,3133.10380163,4678804910,41882790.032356,119291734.93175638,80497848.21104403,39250.0,36043503,0.35,0.52,0.26,12.5,0.74,0.5,35.6,multi,1.0,1.5,35.0,17.4,achievable under BASE zoning,no
